"dimension","subdimension","element"
"test","test","test"
"Informationsgewinnung","Protokollierung","Zentrale Protokollierung"
"Infrastruktur","Infrastruktur","Produktiv-Umgebung und Test-Umgebung"
"Infrastruktur","Infrastruktur","Interne Systeme sind einfach geschützt"
"Erzeugung und Verteilung","Verteilung","Definierter Verteilungs-Prozess"
"Erzeugung und Verteilung","Erzeugung","Definierter Erzeugungs-Prozess"
"Informationsgewinnung","Überwachung und Metrik","Einfache Anwendungs- und System-Metriken"
"Kultur und Organisation","Kultur und Organisation","Informations-Sicherheits-Ziele sind kommuniziert"
"Test und Verifizierung","Dynamische Tiefe","Einfacher Scan"
"Test und Verifizierung","Test-Intensität","Standardeinstellungen für Intensität"
"Test und Verifizierung","Konsolidierung","Behandlung kritischer Alarme"
"Test und Verifizierung","Konsolidierung","Einfache Falsch-Positiv-Behandlung"
"Infrastruktur","Infrastruktur","Anwendungen laufen in virtuellen Umgebungen"
"Infrastruktur","Infrastruktur","Produktionsnahe Umgebung steht Entwicklern zur Verfügung"
"Infrastruktur","Infrastruktur","Virtuelle Umgebungen sind limitiert"
"Erzeugung und Verteilung","Verteilung","Austausch von Konfigurationsparmetern"
"Erzeugung und Verteilung","Erzeugung","Gleiches Artefakt für Umgebungen"
"Erzeugung und Verteilung","Erzeugung","Umgebungsunabhängige Konfigurationsparameter"
"Kultur und Organisation","Kultur und Organisation","Sicherheitsprüfungen gemeinsam mit Entwicklern und System-Administratoren"
"Kultur und Organisation","Kultur und Organisation","Sicherheits-Lessoned-Learned"
"Kultur und Organisation","Kultur und Organisation","Pro Team ist ein Sicherheitsverantwortlicher definiert"
"Kultur und Organisation","Kultur und Organisation","Gute Kommunikation wird belohnt"
"Kultur und Organisation","Kultur und Organisation","Review bei jeder neuen Version"
"Test und Verifizierung","Konsolidierung","Alarme sind visualisiert"
"Test und Verifizierung","Konsolidierung","Alarme sind einfach visualisiert"
"Test und Verifizierung","Statische Tiefe","Test auf Komp. mit bekannten Schwachstellen"
"Infrastruktur","Infrastruktur","Produktions-Artifakte sind versioniert"
